时间,中国确诊,中国疑似,中国治愈,中国死亡,中国死亡率,湖北省确诊,湖北省疑似,湖北省治愈,湖北省死亡,湖北省死亡率,武汉市确诊,武汉市疑似,武汉市治愈,武汉市死亡,武汉市死亡率
2019-12-01,1,0.000,0,0,1,0.000,0,0,1,0.000,0,0
2019-12-02,1,0.000,0,0,1,0.000,0,0,1,0.000,0,0
2019-12-03,1,0.000,0,0,1,0.000,0,0,1,0.000,0,0
2019-12-04,1,0.000,0,0,1,0.000,0,0,1,0.000,0,0
2019-12-05,1,0.000,0,0,1,0.000,0,0,1,0.000,0,0
2019-12-06,1,0.000,0,0,1,0.000,0,0,1,0.000,0,0
2019-12-07,1,0.000,0,0,1,0.000,0,0,1,0.000,0,0
2019-12-08,1,0.000,0,0,1,0.000,0,0,1,0.000,0,0
2019-12-09,1,0.000,0,0,1,0.000,0,0,1,0.000,0,0
2019-12-10,1,0.000,0,0,1,0.000,0,0,1,0.000,0,0
2019-12-11,4,0.000,0,0,4,0.000,0,0,4,0.000,0,0
2019-12-12,4,0.000,0,0,4,0.000,0,0,4,0.000,0,0
2019-12-13,4,0.000,0,0,4,0.000,0,0,4,0.000,0,0
2019-12-14,4,0.000,0,0,4,0.000,0,0,4,0.000,0,0
2019-12-15,6,0.000,0,0,6,0.000,0,0,6,0.000,0,0
2019-12-16,6,0.000,0,0,6,0.000,0,0,6,0.000,0,0
2019-12-17,7,0.000,0,0,7,0.000,0,0,7,0.000,0,0
2019-12-18,8,0.000,0,0,8,0.000,0,0,8,0.000,0,0
2019-12-19,9,0.000,0,0,9,0.000,0,0,9,0.000,0,0
2019-12-20,14,0.000,0,0,14,0.000,0,0,14,0.000,0,0
2019-12-21,18,0.000,0,0,18,0.000,0,0,18,0.000,0,0
2019-12-22,21,0.000,0,0,21,0.000,0,0,21,0.000,0,0
2019-12-23,29,0.000,0,0,29,0.000,0,0,29,0.000,0,0
2019-12-24,30,0.000,0,0,30,0.000,0,0,30,0.000,0,0
2019-12-25,33,0.000,0,0,33,0.000,0,0,33,0.000,0,0
2019-12-26,35,0.000,0,0,35,0.000,0,0,35,0.000,0,0
2019-12-27,37,0.000,0,0,37,0.000,0,0,37,0.000,0,0
2019-12-28,37,0.000,0,0,37,0.000,0,0,37,0.000,0,0
2019-12-29,37,0.000,0,0,37,0.000,0,0,37,0.000,0,0
2019-12-30,37,0.000,0,0,37,0.000,0,0,37,0.000,0,0
2019-12-31,40,0.000,0,0,40,0.000,0,0,40,0.000,0,0
2020-01-01,43,0.000,0,0,43,0.000,0,0,43,0.000,0,0
2020-01-02,44,0.000,0,0,44,0.000,0,0,44,0.000,0,0
2020-01-03,41,0.000,0,0,41,0.000,0,0,41,0.000,0,0
2020-01-04,41,0.000,0,0,41,0.000,0,0,41,0.000,0,0
2020-01-05,41,0.000,0,0,41,0.000,0,0,41,0.000,0,0
2020-01-06,41,0.000,0,0,41,0.000,0,0,41,0.000,0,0
2020-01-07,41,0.000,0,0,41,0.000,0,0,41,0.000,0,0
2020-01-08,41,0.000,0,0,41,0.000,0,0,41,0.000,0,0
2020-01-09,41,0.000,0,0,41,0.000,0,0,41,0.000,0,0
2020-01-10,41,2.439,1,0,41,2.439,1,0,41,2.439,1,0
2020-01-11,41,2.439,1,0,41,2.439,1,0,41,2.439,1,0
2020-01-12,41,2.439,1,0,41,2.439,1,0,41,2.439,1,0
2020-01-13,41,2.439,1,0,41,2.439,1,0,41,2.439,1,0
2020-01-14,41,2.439,1,0,41,2.439,1,0,41,2.439,1,0
