flag,area,confirmed,suspected,cured,dead
000000,中国,24388,23260,955,492
540000,西藏自治区,1,0,,
542527,措勤县,1,0,0,0
820000,澳门特别行政区,10,0,,
630000,青海省,17,0,3,
632823,天峻县,14,0,3,0
632823,天峻县,3,0,0,0
710000,台湾省,11,0,,
810000,香港特别行政区,18,0,,1
520000,贵州省,64,0,5,
522732,三都水族自治县,9,0,0,0
522732,三都水族自治县,11,0,0,0
522732,三都水族自治县,3,0,0,0
522732,三都水族自治县,6,0,3,0
522732,三都水族自治县,5,0,0,0
522732,三都水族自治县,12,0,1,0
522732,三都水族自治县,6,0,1,0
522732,三都水族自治县,9,0,0,0
522732,三都水族自治县,3,0,0,0
220000,吉林省,54,0,2,
222426,安图县,3,0,0,0
222426,安图县,8,0,0,0
222426,安图县,1,0,0,0
222426,安图县,5,0,1,0
222426,安图县,4,0,0,0
222426,安图县,2,0,0,0
222426,安图县,27,0,1,0
222426,安图县,1,0,0,0
222426,安图县,3,0,0,0
650000,新疆维吾尔自治区,32,0,,
659009,昆玉市,12,0,0,0
659009,昆玉市,1,0,0,0
659009,昆玉市,1,0,0,0
659009,昆玉市,1,0,0,0
659009,昆玉市,9,0,0,0
659009,昆玉市,1,0,0,0
659009,昆玉市,4,0,0,0
659009,昆玉市,2,0,0,0
659009,昆玉市,1,0,0,0
640000,宁夏回族自治区,34,0,1,
640522,海原县,3,0,0,0
640522,海原县,7,0,0,0
640522,海原县,20,0,1,0
640522,海原县,1,0,0,0
640522,海原县,2,0,0,0
640522,海原县,1,0,0,0
150000,内蒙古自治区,42,0,1,
152923,额济纳旗,2,0,0,0
152923,额济纳旗,7,0,0,0
152923,额济纳旗,3,0,1,0
152923,额济纳旗,5,0,0,0
152923,额济纳旗,1,0,0,0
152923,额济纳旗,4,0,0,0
152923,额济纳旗,3,0,0,0
152923,额济纳旗,1,0,0,0
152923,额济纳旗,11,0,0,0
152923,额济纳旗,3,0,0,0
152923,额济纳旗,2,0,0,0
620000,甘肃省,57,0,4,
623027,夏河县,1,0,0,0
623027,夏河县,1,0,0,0
623027,夏河县,10,0,0,0
623027,夏河县,2,0,0,0
623027,夏河县,4,0,0,0
623027,夏河县,1,0,0,0
623027,夏河县,3,0,0,0
623027,夏河县,30,0,2,0
623027,夏河县,3,0,1,0
623027,夏河县,1,0,0,0
623027,夏河县,1,0,0,0
623027,夏河县,0,0,1,0
120000,天津市,69,0,2,1
120119,蓟州区,2,0,1,0
120119,蓟州区,6,0,0,0
120119,蓟州区,2,0,0,0
120119,蓟州区,3,0,0,0
120119,蓟州区,3,0,0,0
120119,蓟州区,10,0,0,0
120119,蓟州区,10,0,0,0
120119,蓟州区,4,0,0,0
120119,蓟州区,6,0,0,0
120119,蓟州区,4,0,0,0
120119,蓟州区,15,0,0,1
120119,蓟州区,3,0,0,0
120119,蓟州区,1,0,0,0
120119,蓟州区,0,0,1,0
140000,山西省,81,0,5,
141182,汾阳市,4,0,0,0
141182,汾阳市,21,0,2,0
141182,汾阳市,17,0,1,0
141182,汾阳市,2,0,0,0
141182,汾阳市,5,0,1,0
141182,汾阳市,9,0,0,0
141182,汾阳市,3,0,0,0
141182,汾阳市,1,0,0,0
141182,汾阳市,9,0,1,0
141182,汾阳市,7,0,0,0
141182,汾阳市,3,0,0,0
210000,辽宁省,81,0,2,
211481,兴城市,6,0,0,0
211481,兴城市,3,0,0,0
211481,兴城市,6,0,0,0
211481,兴城市,7,0,0,0
211481,兴城市,13,0,2,0
211481,兴城市,1,0,0,0
211481,兴城市,6,0,0,0
211481,兴城市,18,0,0,0
211481,兴城市,2,0,0,0
211481,兴城市,8,0,0,0
211481,兴城市,3,0,0,0
211481,兴城市,1,0,0,0
211481,兴城市,7,0,0,0
230000,黑龙江省,190,0,7,2
232722,塔河县,2,0,0,0
232722,塔河县,9,0,0,0
232722,塔河县,2,0,0,0
232722,塔河县,11,0,0,0
232722,塔河县,9,0,0,0
232722,塔河县,12,0,0,0
232722,塔河县,24,0,0,2
232722,塔河县,20,0,0,0
232722,塔河县,16,0,1,0
232722,塔河县,73,0,6,0
232722,塔河县,11,0,0,0
232722,塔河县,1,0,0,0
460000,海南省,91,0,4,1
469030,琼中黎族苗族自治县,4,0,0,0
469030,琼中黎族苗族自治县,1,0,0,0
469030,琼中黎族苗族自治县,6,0,0,0
469030,琼中黎族苗族自治县,10,0,0,0
469030,琼中黎族苗族自治县,11,0,0,0
469030,琼中黎族苗族自治县,2,0,0,0
469030,琼中黎族苗族自治县,5,0,0,0
469030,琼中黎族苗族自治县,16,0,0,0
469030,琼中黎族苗族自治县,4,0,0,1
469030,琼中黎族苗族自治县,22,0,4,0
469030,琼中黎族苗族自治县,3,0,0,0
469030,琼中黎族苗族自治县,3,0,0,0
469030,琼中黎族苗族自治县,1,0,0,0
469030,琼中黎族苗族自治县,1,0,0,0
469030,琼中黎族苗族自治县,2,0,0,0
130000,河北省,135,0,4,1
131182,深州市,10,0,0,0
131182,深州市,17,0,2,0
131182,深州市,16,0,0,0
131182,深州市,20,0,0,1
131182,深州市,21,0,1,0
131182,深州市,4,0,0,0
131182,深州市,13,0,1,0
131182,深州市,14,0,0,0
131182,深州市,5,0,0,0
131182,深州市,12,0,0,0
131182,深州市,3,0,0,0
610000,陕西省,165,0,4,
611026,柞水县,1,0,0,0
611026,柞水县,70,0,3,0
611026,柞水县,15,0,0,0
611026,柞水县,6,0,0,0
611026,柞水县,19,0,1,0
611026,柞水县,7,0,0,0
611026,柞水县,1,0,0,0
611026,柞水县,19,0,0,0
611026,柞水县,10,0,0,0
611026,柞水县,9,0,0,0
611026,柞水县,7,0,0,0
611026,柞水县,1,0,0,0
530000,云南省,124,0,5,
533423,维西傈僳族自治县,7,0,0,0
533423,维西傈僳族自治县,5,0,1,0
533423,维西傈僳族自治县,7,0,1,0
533423,维西傈僳族自治县,8,0,0,0
533423,维西傈僳族自治县,10,0,0,0
533423,维西傈僳族自治县,5,0,0,0
533423,维西傈僳族自治县,10,0,1,0
533423,维西傈僳族自治县,15,0,1,0
533423,维西傈僳族自治县,12,0,1,0
533423,维西傈僳族自治县,4,0,0,0
533423,维西傈僳族自治县,35,0,0,0
533423,维西傈僳族自治县,1,0,0,0
533423,维西傈僳族自治县,4,0,0,0
533423,维西傈僳族自治县,1,0,0,0
450000,广西壮族自治区,150,0,13,
451481,凭祥市,26,0,5,0
451481,凭祥市,9,0,0,0
451481,凭祥市,28,0,0,0
451481,凭祥市,13,0,1,0
451481,凭祥市,4,0,0,0
451481,凭祥市,17,0,3,0
451481,凭祥市,8,0,0,0
451481,凭祥市,29,0,2,0
451481,凭祥市,4,0,0,0
451481,凭祥市,5,0,2,0
451481,凭祥市,2,0,0,0
451481,凭祥市,5,0,0,0
350000,福建省,205,0,8,
350982,福鼎市,21,0,1,0
350982,福鼎市,12,0,0,0
350982,福鼎市,38,0,1,0
350982,福鼎市,37,0,3,0
350982,福鼎市,15,0,0,0
350982,福鼎市,11,0,0,0
350982,福鼎市,14,0,1,0
350982,福鼎市,2,0,0,0
350982,福鼎市,55,0,2,0
310000,上海市,243,0,15,1
310151,崇明区,4,0,0,0
310151,崇明区,86,0,0,0
310151,崇明区,10,0,0,0
310151,崇明区,5,0,0,0
310151,崇明区,9,0,0,0
310151,崇明区,0,0,15,1
310151,崇明区,4,0,0,0
310151,崇明区,12,0,0,0
310151,崇明区,13,0,0,0
310151,崇明区,7,0,0,0
310151,崇明区,12,0,0,0
310151,崇明区,46,0,0,0
310151,崇明区,6,0,0,0
310151,崇明区,12,0,0,0
310151,崇明区,7,0,0,0
310151,崇明区,2,0,0,0
310151,崇明区,6,0,0,0
310151,崇明区,2,0,0,0
110000,北京市,253,0,24,1
110119,延庆区,6,0,0,0
110119,延庆区,45,0,0,0
110119,延庆区,29,0,2,0
110119,延庆区,43,0,0,0
110119,延庆区,20,0,0,0
110119,延庆区,3,0,0,0
110119,延庆区,13,0,0,0
110119,延庆区,6,0,0,0
110119,延庆区,7,0,0,0
110119,延庆区,29,0,0,0
110119,延庆区,4,0,0,0
110119,延庆区,15,0,0,0
110119,延庆区,21,0,2,0
110119,延庆区,0,0,20,1
110119,延庆区,11,0,0,0
110119,延庆区,1,0,0,0
320000,江苏省,341,0,15,
321324,泗洪县,45,0,0,0
321324,泗洪县,15,0,0,0
321324,泗洪县,11,0,0,0
321324,泗洪县,6,0,0,0
321324,泗洪县,20,0,1,0
321324,泗洪县,26,0,1,0
321324,泗洪县,26,0,1,0
321324,泗洪县,15,0,2,0
321324,泗洪县,26,0,1,0
321324,泗洪县,25,0,0,0
321324,泗洪县,47,0,4,0
321324,泗洪县,24,0,2,0
321324,泗洪县,55,0,3,0
510000,四川省,301,0,24,1
513437,雷波县,5,0,1,0
513437,雷波县,17,0,1,0
513437,雷波县,15,0,0,0
513437,雷波县,24,0,1,0
513437,雷波县,7,0,0,0
513437,雷波县,7,0,0,0
513437,雷波县,2,0,0,0
513437,雷波县,5,0,2,0
513437,雷波县,12,0,0,0
513437,雷波县,15,0,0,0
513437,雷波县,92,0,16,1
513437,雷波县,28,0,1,0
513437,雷波县,10,0,0,0
513437,雷波县,17,0,1,0
513437,雷波县,10,0,0,0
513437,雷波县,6,0,0,0
513437,雷波县,2,0,0,0
513437,雷波县,9,0,0,0
513437,雷波县,6,0,0,0
513437,雷波县,11,0,0,0
513437,雷波县,1,0,0,0
513437,雷波县,0,0,1,0
370000,山东省,307,0,13,
371728,东明县,27,0,2,0
371728,东明县,14,0,1,0
371728,东明县,29,0,0,0
371728,东明县,17,0,0,0
371728,东明县,25,0,3,0
371728,东明县,30,0,1,0
371728,东明县,35,0,3,0
371728,东明县,14,0,0,0
371728,东明县,12,0,0,0
371728,东明县,12,0,0,0
371728,东明县,11,0,2,0
371728,东明县,16,0,0,0
371728,东明县,24,0,1,0
371728,东明县,27,0,0,0
371728,东明县,14,0,0,0
360000,江西省,548,0,28,
361181,德兴市,15,0,1,0
361181,德兴市,69,0,6,0
361181,德兴市,86,0,2,0
361181,德兴市,69,0,4,0
361181,德兴市,44,0,1,0
361181,德兴市,9,0,0,0
361181,德兴市,48,0,4,0
361181,德兴市,4,0,1,0
361181,德兴市,22,0,1,0
361181,德兴市,48,0,1,0
361181,德兴市,134,0,7,0
500000,重庆市,366,0,14,2
500243,彭水苗族土家族自治县,9,0,1,0
500243,彭水苗族土家族自治县,1,0,0,0
500243,彭水苗族土家族自治县,3,0,1,0
500243,彭水苗族土家族自治县,14,0,0,0
500243,彭水苗族土家族自治县,12,0,0,0
500243,彭水苗族土家族自治县,18,0,0,0
500243,彭水苗族土家族自治县,6,0,1,0
500243,彭水苗族土家族自治县,8,0,4,0
500243,彭水苗族土家族自治县,7,0,0,0
500243,彭水苗族土家族自治县,15,0,1,0
500243,彭水苗族土家族自治县,18,0,2,0
500243,彭水苗族土家族自治县,8,0,0,0
500243,彭水苗族土家族自治县,19,0,0,1
500243,彭水苗族土家族自治县,7,0,0,0
500243,彭水苗族土家族自治县,7,0,0,0
500243,彭水苗族土家族自治县,3,0,0,0
